x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,y,y_1,y_2,y_3,y_4
20,205.0,190.0,9.0,0.0,0.0,1.27778,0.998145,1.61111,1.12382,49.4815,44.7778,60.6667,43.0,-14.1111,33.5556,-19.4444,60.6667,0.290788,-1.9876,4,4.0,4.0,4.0,5.0
21,18.0,138.0,9.0,0.0,0.0,0.888889,0.562963,0.833333,0.3,5.74074,7.33333,6.55556,3.33333,4.77778,2.44444,-7.22222,7.33333,0.543871,-0.862108,0,0.0,0.0,2.0,4.0
22,230.0,162.0,9.0,0.0,0.0,1.66667,1.07497,0.944444,0.574134,17.3333,13.7778,15.8889,22.3333,-10.6667,-4.33333,15.0,22.3333,0.382522,2.35037,3,3.0,3.0,1.0,3.0
23,151.0,147.0,9.0,0.0,0.0,0.444445,0.42963,0.722222,0.107407,6.03704,5.66667,9.22222,3.22222,-1.11111,9.55556,-8.44444,9.55556,0.652248,-1.50837,0,0.0,6.0,2.0,0.0
24,62.0,223.0,9.0,0.0,0.0,2.5,5.72222,1.66667,2.44444,6.66667,4.88889,4.66667,10.4444,-5.33333,-6.0,11.3333,10.4444,0.59315,2.04659,3,3.0,1.0,2.0,3.0
25,129.0,136.0,9.0,0.0,0.0,2.0,1.55556,0.833333,0.122222,6.18518,3.66667,10.6667,4.22222,-7.55556,13.4444,-5.88889,10.6667,0.657744,-2.1753,6,4.0,3.0,0.0,6.0
26,192.0,51.0,9.0,0.0,0.0,0.722224,0.389683,0.944443,0.772203,108.741,95.2222,127.0,104.0,-40.5556,54.7778,-14.2222,127.0,0.250137,-2.38344,5,5.0,2.0,3.0,5.0
27,83.0,126.0,9.0,0.0,0.0,0.722222,0.534027,0.944444,0.574134,11.1852,5.22222,20.0,8.33333,-17.8889,26.4444,-8.55556,20.0,0.739265,-2.31353,2,2.0,5.0,6.0,2.0
28,208.0,154.0,9.0,0.0,0.111111,11.6667,125.867,0.944444,0.685184,8.7037,5.88889,13.8889,6.33333,-8.44444,15.5556,-7.11111,13.8889,0.771517,-2.06692,6,5.0,6.0,6.0,4.0
29,45.0,149.0,9.0,0.0,0.0,2.5,3.32222,0.666666,0.266666,16.8148,13.4444,23.7778,13.2222,-10.1111,20.8889,-10.7778,23.7778,0.453341,-2.06925,1,3.0,1.0,1.0,2.0
30,13.0,83.0,9.0,0.0,0.0,0.833333,0.547722,0.666667,0.632455,3.7037,1.55556,6.0,3.55556,-6.44444,6.88889,-0.444444,6.0,0.740476,-2.57338,2,4.0,3.0,1.0,2.0
31,80.0,72.0,9.0,0.0,0.0,1.22222,1.0037,1.44444,1.16746,59.0,51.3333,74.4444,51.2222,-23.0,46.3333,-23.3333,74.4444,0.314606,-2.09022,1,3.0,1.0,1.0,5.0
32,251.0,215.0,9.0,0.111111,0.0,1.5,2.03333,2.77778,2.51852,12.4074,9.22222,11.5556,16.4444,-9.55556,-2.55556,12.1111,16.4444,0.441049,2.43782,3,3.0,2.0,6.0,3.0
33,228.0,123.0,9.0,0.0,0.0,0.166667,0.0777778,0.444444,0.207407,0.703704,0.0,2.0,0.111111,-2.11111,3.88889,-1.77778,2.0,1.0,-2.12325,2,2.0,5.0,6.0,2.0
34,173.0,219.0,9.0,0.0,0.0,2.77778,3.4963,2.83333,6.61111,5.59259,4.11111,4.33333,8.33333,-4.44444,-3.77778,8.22222,8.33333,0.561254,2.14836,3,3.0,3.0,6.0,3.0
35,121.0,189.0,9.0,0.0,0.0,2.27778,2.19511,4.94444,4.00786,62.0741,54.7778,77.5556,53.8889,-21.8889,46.4444,-24.5556,77.5556,0.305404,-2.05408,4,6.0,4.0,4.0,2.0
36,57.0,229.0,9.0,0.0,0.0,2.72222,2.05931,3.44444,1.40896,14.6296,12.0,13.5556,18.3333,-7.88889,-3.22222,11.1111,18.3333,0.347692,2.35044,3,0.0,5.0,0.0,2.0
37,142.0,99.0,9.0,0.0,0.0,0.777778,0.455422,1.72222,1.34026,51.8889,51.8889,56.0,47.7778,0.0,12.3333,-12.3333,56.0,0.146611,-1.56746,1,4.0,5.0,1.0,2.0
38,143.0,34.0,9.0,0.0,0.0,1.05555,0.928956,1.38889,0.879814,125.481,113.667,142.0,120.778,-35.4444,49.5556,-14.1111,142.0,0.199516,-2.35727,5,0.0,5.0,4.0,5.0
39,75.0,49.0,9.0,0.0,0.0,0.833336,0.388888,1.16667,0.700002,127.407,117.0,143.111,122.111,-31.2222,47.1111,-15.8889,143.111,0.182398,-2.29784,5,5.0,1.0,1.0,5.0
40,74.0,64.0,9.0,0.0,0.0,1.83333,1.20646,2.0,1.11555,56.5926,49.6667,71.0,49.1111,-20.7778,43.2222,-22.4444,71.0,0.313003,-2.06717,1,2.0,1.0,1.0,6.0
41,66.0,160.0,9.0,0.0,0.0,3.0,4.04445,2.77778,0.429629,22.8519,18.2222,31.5556,18.7778,-13.8889,26.1111,-12.2222,31.5556,0.426014,-2.13873,1,0.0,1.0,1.0,2.0
42,170.0,139.0,9.0,0.0,0.0,1.05556,0.507408,0.722222,0.285185,4.18518,1.88889,8.55556,2.11111,-6.88889,13.1111,-6.22222,8.55556,0.786175,-2.12759,6,0.0,0.0,5.0,6.0
43,105.0,139.0,9.0,0.0,0.0,0.277778,0.107407,0.833333,0.522222,6.11111,7.55556,7.22222,3.55556,4.33333,3.33333,-7.66667,7.55556,0.532628,-0.965946,0,0.0,2.0,3.0,0.0
44,206.0,80.0,9.0,0.0,0.0,4.88889,14.8296,3.83333,36.1222,10.037,6.55556,15.1111,8.44444,-10.4444,15.2222,-4.77778,15.1111,0.597765,-2.32626,2,1.0,3.0,3.0,2.0
45,214.0,246.0,9.0,0.0,0.0,2.83333,1.91775,3.0,1.98886,17.5185,14.2222,15.4444,22.8889,-9.88889,-6.22222,16.1111,22.8889,0.391548,2.23285,3,3.0,5.0,5.0,3.0
46,150.0,144.0,9.0,0.0,0.0,0.555556,0.0740741,0.611111,0.151852,2.51852,0.111111,6.55556,0.888889,-7.22222,12.1111,-4.88889,6.55556,0.986111,-2.21216,2,3.0,1.0,4.0,2.0
47,199.0,100.0,9.0,0.0,0.0,2.38889,1.44074,2.44444,6.02963,6.07407,2.77778,11.5556,3.88889,-9.88889,16.4444,-6.55556,11.5556,0.773815,-2.22625,2,2.0,4.0,1.0,2.0
48,119.0,196.0,9.0,0.0,0.0,2.66667,2.14994,1.38889,1.35674,53.3333,47.3333,65.6667,47.0,-18.0,37.0,-19.0,65.6667,0.293586,-2.07918,4,3.0,4.0,4.0,2.0
49,46.0,238.0,9.0,0.0,0.0,1.05556,0.827759,2.16667,1.8227,13.2593,9.66667,12.6667,17.4444,-10.7778,-1.77778,12.5556,17.4444,0.445509,2.50823,3,3.0,6.0,2.0,3.0
50,101.0,121.0,9.0,0.111111,0.0,0.666667,0.843274,1.5,0.888194,3.40741,1.11111,6.0,3.11111,-6.88889,7.77778,-0.888889,6.0,0.843518,-2.51916,2,2.0,0.0,2.0,2.0
51,205.0,204.0,9.0,0.0,0.0,1.55556,0.958394,1.88889,1.77221,19.0,14.3333,17.1111,25.5556,-14.0,-5.66667,19.6667,25.5556,0.439342,2.34873,3,3.0,0.0,3.0,3.0
52,224.0,95.0,9.0,0.0,0.0,1.22222,0.474074,1.05556,0.72963,3.51852,0.888889,7.22222,2.44444,-7.88889,11.1111,-3.22222,7.22222,0.88955,-2.34899,2,2.0,5.0,3.0,5.0
53,208.0,65.0,9.0,0.0,0.0,1.38889,1.23678,26.4444,25.5375,56.7037,52.6667,64.4444,53.0,-12.1111,23.2222,-11.1111,64.4444,0.19713,-1.97081,1,0.0,1.0,1.0,5.0
54,177.0,181.0,9.0,0.0,0.0,4.27778,1.73098,2.55556,1.48573,60.6296,53.6667,75.6667,52.5556,-20.8889,45.1111,-24.2222,75.6667,0.306993,-2.04456,4,6.0,4.0,4.0,2.0
55,39.0,124.0,9.0,0.0,0.111111,5.33333,4.77494,6.5,4.54484,7.59259,4.11111,12.8889,5.77778,-10.4444,15.8889,-5.44444,12.8889,0.772152,-2.26575,2,2.0,2.0,2.0,2.0
56,44.0,157.0,9.0,0.0,0.0,0.833334,0.3,2.94444,7.61852,24.2963,19.2222,24.2222,29.4444,-15.2222,-0.222222,15.4444,29.4444,0.350043,2.6043,3,3.0,2.0,3.0,3.0
57,106.0,107.0,9.0,0.0,0.0,1.11111,0.720082,0.666667,0.421637,22.5556,13.0,36.0,18.6667,-28.6667,40.3333,-11.6667,36.0,0.638541,-2.35462,2,2.0,2.0,1.0,4.0
58,216.0,126.0,9.0,0.0,0.0,0.555555,0.207407,0.555556,0.0740739,4.92593,6.44444,5.77778,2.55556,4.55556,2.55556,-7.11111,6.55556,0.611111,-0.877707,0,0.0,2.0,3.0,0.0
59,200.0,165.0,9.0,0.111111,0.0,2.27778,3.97408,1.77778,0.918519,17.3333,12.8889,16.4444,22.6667,-13.3333,-2.66667,16.0,22.6667,0.43082,2.4712,3,5.0,6.0,0.0,3.0
60,8.0,79.0,9.0,0.0,0.0,1.27778,2.28518,2.11111,0.518519,16.8148,17.3333,21.0,12.1111,1.55556,12.5556,-14.1111,21.0,0.422337,-1.45311,0,0.0,5.0,6.0,0.0
61,25.0,155.0,9.0,0.0,0.0,5.72222,99.7519,18.0,151.689,14.3333,13.0,18.6667,11.3333,-4.0,13.0,-9.0,21.4444,0.646298,-1.79743,6,1.0,6.0,6.0,1.0
62,139.0,185.0,9.0,0.0,0.0,2.0,0.632455,1.22222,1.90516,59.1481,52.2222,73.4444,51.7778,-20.7778,42.8889,-22.1111,73.4444,0.29644,-2.07387,4,5.0,4.0,4.0,6.0
63,242.0,81.0,9.0,0.0,0.0,1.5,1.14445,1.22222,0.740742,38.2593,34.5556,47.2222,33.0,-11.1111,26.8889,-15.7778,47.2222,0.300796,-1.98457,1,5.0,1.0,1.0,1.0
64,174.0,188.0,9.0,0.0,0.0,2.88889,2.88033,3.61111,2.23524,50.4074,45.4444,62.0,43.7778,-14.8889,34.7778,-19.8889,62.0,0.293991,-1.99507,4,1.0,4.0,4.0,6.0
65,58.0,125.0,9.0,0.0,0.0,2.16667,1.11056,1.05556,0.90472,18.5556,11.1111,30.6667,13.8889,-22.3333,36.3333,-14.0,30.6667,0.638455,-2.24196,2,2.0,2.0,2.0,2.0
66,87.0,146.0,9.0,0.0,0.0,0.944444,0.611616,5.11111,4.71247,43.1481,36.8889,55.8889,36.6667,-18.7778,38.2222,-19.4444,55.8889,0.347454,-2.08184,1,1.0,1.0,1.0,6.0
67,202.0,129.0,9.0,0.0,0.0,0.222222,0.544331,3.44444,3.80448,2.2963,2.44444,2.55556,1.88889,0.444444,0.777778,-1.22222,2.66667,0.0965608,-1.10139,6,0.0,3.0,0.0,6.0
68,137.0,141.0,9.0,0.0,0.0,0.0555556,0.136083,0.0555556,0.136083,0.037037,0.0,0.111111,0.0,-0.111111,0.222222,-0.111111,0.111111,0.111111,-2.0944,6,1.0,6.0,2.0,6.0
69,214.0,79.0,9.0,0.0,0.0,1.27778,0.862963,1.33333,0.533333,4.85185,2.0,9.22222,3.33333,-8.55556,13.1111,-4.55556,9.22222,0.791667,-2.28898,2,2.0,3.0,5.0,2.0
70,196.0,244.0,9.0,0.0,0.0,1.27778,0.551852,3.61111,6.95185,7.74074,6.66667,7.0,9.55556,-3.22222,-2.22222,5.44444,9.55556,0.383372,2.34059,3,3.0,3.0,0.0,3.0
71,6.0,51.0,9.0,0.0,0.0,1.66667,2.0,1.61111,2.10741,19.5926,18.7778,25.6667,14.3333,-2.44444,18.2222,-15.7778,25.6667,0.442861,-1.68129,0,0.0,0.0,0.0,5.0
72,2.0,89.0,9.0,0.0,0.0,1.22222,1.76296,2.55556,3.4963,18.963,18.7778,23.8889,14.2222,-0.555556,14.7778,-14.2222,23.8889,0.402507,-1.54421,0,2.0,0.0,0.0,3.0
73,124.0,191.0,9.0,0.0,0.0,3.5,2.73861,3.27778,2.80013,59.7407,52.8889,74.7778,51.5556,-20.5556,45.1111,-24.5556,74.7778,0.313611,-2.03548,4,2.0,4.0,4.0,4.0
74,19.0,102.0,9.0,0.0,0.0,3.88889,1.50062,1.16667,0.62361,58.3704,50.6667,73.4444,51.0,-23.1111,45.2222,-22.1111,73.4444,0.317014,-2.10205,1,1.0,1.0,4.0,5.0
75,3.0,78.0,9.0,0.0,0.111111,14.8333,356.167,43.3333,662.355,79.6667,70.7778,91.4444,76.7778,-26.6667,35.3333,-8.66667,91.4444,0.269733,-2.41165,2,2.0,2.0,5.0,1.0
76,230.0,41.0,9.0,0.0,0.0,0.888891,0.68853,1.88889,1.24127,121.481,110.222,138.889,115.333,-33.7778,52.2222,-18.4444,138.889,0.206392,-2.2808,5,5.0,2.0,0.0,5.0
77,145.0,152.0,9.0,0.0,0.0,0.722222,1.14342,2.77778,1.10889,25.037,19.6667,25.7778,29.6667,-16.1111,2.22222,13.8889,29.6667,0.337989,2.73113,3,2.0,6.0,0.0,3.0
78,23.0,92.0,9.0,0.0,0.111111,4.11111,4.63641,7.0,5.6882,12.6667,8.77778,18.6667,10.5556,-11.6667,18.0,-6.33333,18.6667,0.564898,-2.28056,2,2.0,2.0,2.0,6.0
79,80.0,77.0,9.0,0.0,0.0,1.38889,1.06284,0.666667,0.557774,59.1111,51.1111,74.0,52.2222,-24.0,44.6667,-20.6667,74.0,0.31069,-2.14305,1,1.0,1.0,1.0,6.0
80,49.0,42.0,9.0,0.0,0.0,2.61111,0.928958,1.33333,0.894428,58.8889,50.6667,74.5556,51.4444,-24.6667,47.0,-22.3333,74.5556,0.322931,-2.12574,1,1.0,4.0,1.0,2.0
81,60.0,196.0,9.0,0.0,0.0,1.44444,1.04704,4.44444,1.99629,51.1481,45.3333,63.3333,44.7778,-17.4444,36.5556,-19.1111,63.3333,0.297689,-2.05926,4,0.0,4.0,4.0,0.0
82,139.0,121.0,9.0,0.0,0.0,1.05556,0.418519,1.16667,0.833334,3.7037,0.777778,7.77778,2.55556,-8.77778,12.2222,-3.44444,7.77778,0.907407,-2.35151,2,2.0,4.0,2.0,2.0
83,17.0,98.0,9.0,0.111111,0.0,0.722222,0.712325,0.666667,0.730297,1.51852,0.333333,2.88889,1.33333,-3.55556,4.11111,-0.555556,2.88889,0.916667,-2.4238,2,2.0,2.0,1.0,2.0
84,33.0,117.0,9.0,0.0,0.0,0.5,0.122222,1.0,0.311111,6.44444,7.33333,8.22222,3.77778,2.66667,5.33333,-8.0,8.22222,0.53858,-1.23326,0,0.0,3.0,3.0,0.0
85,234.0,194.0,9.0,0.0,0.222222,1.44445,1.95126,3.83333,3.08941,48.6296,43.0,60.3333,42.5556,-16.8889,35.1111,-18.2222,60.3333,0.298369,-2.07188,4,5.0,4.0,4.0,1.0
86,173.0,186.0,9.0,0.0,0.111111,3.22222,2.1152,5.5,3.50713,53.4444,48.2222,65.8889,46.2222,-15.6667,37.3333,-21.6667,65.8889,0.298302,-1.98825,4,3.0,0.0,6.0,0.0
87,166.0,182.0,9.0,0.0,0.0,3.05556,4.21329,4.0,2.36643,58.4074,52.5556,72.5556,50.1111,-17.5556,42.4444,-24.8889,72.5556,0.3112,-1.97849,4,0.0,4.0,4.0,4.0
88,44.0,125.0,9.0,0.0,0.0,0.5,0.211111,0.444444,0.162963,18.2222,14.8889,24.7778,15.0,-10.0,19.6667,-9.66667,24.7778,0.398689,-2.10408,1,0.0,1.0,1.0,6.0
89,71.0,187.0,9.0,0.0,0.0,2.0,1.63299,3.55556,1.86984,18.6667,14.6667,16.2222,25.1111,-12.0,-7.33333,19.3333,25.1111,0.431215,2.2543,3,3.0,1.0,0.0,3.0
90,52.0,102.0,9.0,0.0,0.0,0.722222,0.507407,0.833333,0.566667,2.88889,0.666667,6.33333,1.66667,-6.66667,10.3333,-3.66667,6.33333,0.899735,-2.26172,2,0.0,2.0,6.0,2.0
91,149.0,163.0,9.0,0.0,0.0,2.61111,12.1518,14.0,48.8889,41.6667,35.4444,51.3333,38.2222,-18.6667,29.0,-10.3333,51.3333,0.297547,-2.38444,4,5.0,4.0,4.0,3.0
92,145.0,185.0,9.0,0.111111,0.0,2.77778,2.2575,2.22222,1.95126,56.2593,49.8889,69.8889,49.0,-19.1111,40.8889,-21.7778,69.8889,0.302283,-2.05106,4,4.0,4.0,4.0,4.0
93,80.0,203.0,9.0,0.0,0.0,1.38889,0.742867,1.94444,1.52631,12.4074,10.0,9.0,18.2222,-7.22222,-10.2222,17.4444,18.2222,0.514445,1.98675,3,3.0,3.0,0.0,3.0
94,7.0,90.0,9.0,0.0,0.0,1.27778,0.854184,2.44444,2.01843,4.66667,2.55556,5.77778,5.66667,-6.33333,3.33333,3.0,6.22222,0.665344,-3.04418,2,2.0,0.0,3.0,3.0
95,75.0,149.0,9.0,0.0,0.0,0.5,0.122222,1.05556,0.507407,7.51852,5.55556,11.8889,5.11111,-5.88889,13.1111,-7.22222,11.8889,0.578708,-2.01863,0,0.0,0.0,0.0,0.0
96,144.0,169.0,9.0,0.0,0.0,1.11111,0.779364,1.38889,0.742867,17.1111,13.4444,18.0,19.8889,-11.0,2.66667,8.33333,19.8889,0.324965,2.83482,3,3.0,6.0,2.0,6.0
97,142.0,119.0,9.0,0.0,0.0,5.27778,0.854184,1.05556,0.611616,45.6296,40.6667,56.0,40.2222,-14.8889,31.1111,-16.2222,56.0,0.28077,-2.06404,1,5.0,1.0,1.0,4.0
98,229.0,124.0,9.0,0.0,0.0,0.888889,0.074074,0.888889,0.340741,5.88889,7.11111,7.11111,3.44444,3.66667,3.66667,-7.33333,7.55556,0.545855,-1.03766,0,4.0,0.0,2.0,0.0
99,94.0,135.0,9.0,0.0,0.0,2.27778,1.26296,0.555555,0.385185,2.18519,0.777778,4.88889,0.888889,-4.22222,8.11111,-3.88889,4.88889,0.888007,-2.11097,6,6.0,4.0,3.0,6.0
100,225.0,222.0,9.0,0.111111,0.0,1.5,0.477778,1.77778,1.71852,14.0,10.7778,13.6667,17.5556,-9.66667,-1.0,10.6667,17.5556,0.385727,2.55731,3,3.0,2.0,1.0,3.0
101,196.0,161.0,9.0,0.0,0.0,2.77778,5.54073,11.7778,93.9852,41.963,36.5556,51.2222,38.1111,-16.2222,27.7778,-11.5556,51.3333,0.282125,-2.38829,4,0.0,4.0,4.0,3.0
102,251.0,173.0,9.0,0.111111,0.0,2.16667,1.83485,2.38889,1.23678,56.7778,49.8889,71.5556,48.8889,-20.6667,44.3333,-23.6667,71.5556,0.318366,-2.0482,4,0.0,4.0,4.0,6.0
103,94.0,104.0,9.0,0.0,0.0,6.61111,1.42075,1.0,0.516399,55.7407,48.8889,69.5556,48.7778,-20.5556,41.4444,-20.8889,69.5556,0.303071,-2.08549,1,4.0,1.0,1.0,0.0
104,217.0,148.0,9.0,0.0,0.0,2.05556,2.55185,1.05556,0.507408,29.0741,21.4444,41.5556,24.2222,-22.8889,37.4444,-14.5556,41.5556,0.483771,-2.23797,1,3.0,1.0,1.0,5.0
105,231.0,160.0,9.0,0.0,0.0,2.61111,8.24074,13.1667,139.856,40.8889,34.1111,51.7778,36.7778,-20.3333,32.6667,-12.3333,51.7778,0.339618,-2.33584,4,4.0,4.0,4.0,4.0
106,39.0,111.0,9.0,0.0,0.0,0.722222,0.374074,0.888889,0.429629,6.03704,7.0,7.66667,3.44444,2.88889,4.88889,-7.77778,7.88889,0.562919,-1.17577,0,0.0,0.0,4.0,0.0
107,18.0,209.0,9.0,0.0,0.111111,2.61111,0.712326,4.55556,2.67222,48.7778,43.0,60.7778,42.5556,-17.3333,36.0,-18.6667,60.7778,0.302982,-2.06698,4,4.0,4.0,4.0,4.0
108,9.0,80.0,9.0,0.0,0.0,2.94444,13.7519,16.6667,71.5111,23.6296,17.3333,31.6667,21.8889,-18.8889,24.1111,-5.22222,31.6667,0.514254,-2.43151,2,6.0,2.0,2.0,3.0
109,250.0,176.0,9.0,0.0,0.111111,1.61111,1.06284,3.44444,1.69531,53.6667,47.1111,67.6667,46.2222,-19.6667,42.0,-22.3333,67.6667,0.318137,-2.05226,4,3.0,4.0,4.0,3.0
110,187.0,135.0,9.0,0.0,0.0,3.27778,2.46296,0.833334,0.477778,26.4444,20.2222,37.0,22.1111,-18.6667,31.6667,-13.0,37.0,0.454232,-2.21199,6,6.0,6.0,6.0,2.0
111,107.0,21.0,9.0,0.0,0.0,0.666662,0.516398,1.16667,0.408248,126.778,115.778,141.889,122.667,-33.0,45.3333,-12.3333,141.889,0.184022,-2.37037,5,5.0,2.0,2.0,5.0
112,122.0,106.0,9.0,0.111111,0.0,1.61111,0.596296,1.61111,2.72963,23.037,22.0,29.8889,17.2222,-3.11111,20.5556,-17.4444,29.8889,0.423346,-1.6958,0,0.0,0.0,0.0,2.0
113,188.0,88.0,9.0,0.0,0.0,0.666667,0.471405,0.333333,0.298142,7.33333,5.11111,12.2222,4.66667,-6.66667,14.6667,-8.0,12.2222,0.61791,-2.03577,6,6.0,6.0,3.0,6.0
114,178.0,25.0,9.0,0.0,0.0,0.722221,0.327731,1.55556,1.24126,44.8148,39.5556,55.0,39.8889,-15.7778,30.5556,-14.7778,55.0,0.284582,-2.11881,1,1.0,1.0,1.0,1.0
115,33.0,108.0,9.0,0.0,0.0,2.94444,4.5963,6.83333,16.8333,40.0,36.0,48.2222,35.7778,-12.0,24.6667,-12.6667,48.2222,0.266758,-2.08047,1,3.0,1.0,1.0,0.0
116,69.0,59.0,9.0,0.0,0.0,1.27778,0.951851,2.05556,1.48519,23.8519,22.6667,30.8889,18.0,-3.55556,21.1111,-17.5556,30.8889,0.415301,-1.69933,0,3.0,0.0,0.0,4.0
117,116.0,35.0,9.0,0.0,0.0,0.833333,0.781735,0.888888,0.544333,125.185,113.778,141.333,120.444,-34.2222,48.4444,-14.2222,141.333,0.194853,-2.34664,5,5.0,4.0,3.0,3.0
118,134.0,191.0,9.0,0.0,0.0,1.38889,1.30668,1.44444,1.08866,61.6667,54.7778,76.6667,53.5556,-20.6667,45.0,-24.3333,76.6667,0.302994,-2.04128,4,5.0,4.0,6.0,4.0
119,212.0,140.0,9.0,0.0,0.0,3.83333,4.20449,0.666667,0.666667,2.88889,2.66667,3.33333,2.66667,-0.666667,1.33333,-0.666667,3.33333,0.0688833,-2.0944,6,6.0,0.0,6.0,6.0
120,89.0,89.0,9.0,0.0,0.0,1.72222,2.90741,2.94444,4.86296,21.8889,21.3333,27.7778,16.5556,-1.66667,17.6667,-16.0,27.7778,0.400445,-1.61137,0,0.0,0.0,0.0,2.0
121,63.0,201.0,9.0,0.0,0.0,1.44444,0.918519,0.944444,0.551852,7.77778,6.22222,5.55556,11.5556,-4.66667,-6.66667,11.3333,11.5556,0.543201,1.98299,3,3.0,0.0,5.0,3.0
122,138.0,203.0,9.0,0.0,0.0,1.66667,1.64655,2.27778,1.87873,11.2593,8.77778,8.11111,16.8889,-7.44444,-9.44444,16.8889,16.8889,0.538945,2.01975,3,2.0,0.0,2.0,3.0
123,128.0,15.0,9.0,0.0,0.0,0.77778,0.272168,0.555556,0.620632,129.259,118.333,144.0,125.444,-32.7778,44.2222,-11.4444,144.0,0.17818,-2.38244,5,5.0,1.0,4.0,4.0
